./tumor.log created
time = 6.90420352398; no more cells left
time = 7.09749769504; no more cells left
time = 14.2893227393; no more cells left
time = 6.69409824866; no more cells left
time = 2.33159303653; no more cells left
time = 9.91560638301; no more cells left
time = 9.92285562044; no more cells left
time = 13.3046043886; no more cells left
time = 6.00697128515; no more cells left
time = 10.2355166596; no more cells left
time = 6.129751114; no more cells left
time = 4.99851488052; no more cells left
time = 11.098054997; no more cells left
time = 11.1535222161; no more cells left
time = 14.3390445878; no more cells left
time = 12.2884533875; no more cells left
time = 3.24857400126; no more cells left
time = 5.47262116615; no more cells left
time = 14.9103357038; no more cells left
time = 9.16189253112; no more cells left
time = 12.5905702349; no more cells left
time = 11.8880554451; no more cells left
time = 13.1189902486; no more cells left
time = 9.84633920772; no more cells left
time = 9.97490018274; no more cells left
time = 10.2355166596; no more cells left
finished generating time courses

